budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,director_popularity,actor_popularity,writer_popularity
19000000,Summit Entertainment,USA,Charles Stone III,Comedy,46664414,Uncle Drew,PG-13,29/06/18,103,5.7,Kyrie Irving,11690,Jay Longino,2018,1.38,1.4,0.6
6000000,Universal 1440 Entertainment,USA,Harold Cronk,Biography,6216897,Unbroken - Path to Redemption,PG-13,14/09/18,98,5.8,Samuel Hunt,2292,Richard Friedenberg,2018,0.648,2.976,1.62
15000000,Focus Features,USA,Spike Lee,Biography,93400823,BlacKkKlansman,R,27/09/18,135,7.5,Alec Baldwin,207042,Charlie Wachtel,2018,1.945,4.77,1.38
12000000,Hidden Empire Film Group,USA,Deon Taylor,Action,22741061,Black and Blue,R,25/10/19,108,6.3,Naomie Harris,13332,Peter A. Dowling,2019,0.98,5.588,0.98
9000000,Daniel Grodnik Productions,USA,Nick Powell,Action,84630,Primal,R,8/11/19,97,4.9,Nicolas Cage,4212,Richard Leder,2019,1.4,19.001,0.6
48000000,Closest to the Hole Productions,USA,Sean Anders,Comedy,120556201,Instant Family,R,21/03/19,118,7.3,Mark Wahlberg,76885,Sean Anders,2018,0.6,13.736,1.96
49000000,Paramount Players,USA,James Bobin,Adventure,119682635,Dora and the Lost City of Gold,PG,26/09/19,102,6.1,Benicio Del Toro,21413,Nicholas Stoller,2019,1.821,6.908,3.576
20000000,BET Films,USA,Adam Shankman,Comedy,72216294,What Men Want - Ladies Night,R,8/02/19,117,5.2,Taraji P. Henson,20016,Tina Gordon,2019,0.972,4.65,1.22
16000000,Columbia Pictures,USA,Director X.,Action,20780685,Superfly,R,13/06/18,116,5.1,Trevor Jackson,6015,Alex Tse,2018,0.6,1.646,1.008
84500000,Clubhouse Pictures (II),USA,Cathy Yan,Action,201858461,Birds of Prey,R,6/02/20,109,6.1,Margot Robbie,137373,Christina Hodson,2020,0.6,33.929,2.958
16000000,GoldDay,USA,Michael Dowse,Action,32390945,Stuber,R,29/08/19,93,6.2,Dave Bautista,37773,Tripper Clancy,2019,0.991,6.593,0.6
6000000,Screen Gems,USA,David Yarovesky,Drama,32893421,Brightburn,R,23/05/19,90,6.1,Elizabeth Banks,74226,Brian Gunn,2019,1.159,9.793,1.396
6000000,Fox Searchlight Pictures,USA,Matt Bettinelli-Olpin,Comedy,57615777,Ready or Not,R,24/10/19,95,6.8,Samara Weaving,96190,Guy Busick,2019,0.972,11.151,0.6
5000000,Blumhouse Productions,USA,Tate Taylor,Horror,61105672,Ma,R,27/06/19,99,5.6,Octavia Spencer,36323,Scotty Landes,2019,3.185,4.516,0.6
9000000,Blumhouse Productions,USA,Christopher Landon,Comedy,64600152,Happy Death Day 2U,R,28/02/19,100,6.2,Jessica Rothe,52547,Christopher Landon,2019,2.999,10.164,0.98
29900000,Broken Road Productions,USA,Andy Fickman,Comedy,68631669,Playing with Fire,PG,27/02/20,96,5,John Cena,8766,Dan Ewen,2019,1.4,5.568,0.6
10000000,STX Films,USA,William Brent Bell,Drama,20311536,Brahms: The Boy II,R,19/03/20,86,4.6,Katie Holmes,8755,Stacey Menear,2020,0.98,5.83,0.6
12000000,Kevin Downes Productions,USA,Andrew Erwin,Biography,13681524,I Still Believe,PG,19/03/20,116,6.5,K.J. Apa,6196,Jeremy Camp,2020,0.6,5.03,0.6
33000000,Burek Films,USA,Derrick Borte,Action,21025406,Unhinged,R,24/09/20,90,6.2,Russell Crowe,4720,Carl Ellsworth,2020,1.38,9.633,1.607
18000000,Fox 2000 Pictures,USA,Simon Curtis,Comedy,33766787,The Art Of Racing in the Rain,PG,7/11/19,109,7.6,Kevin Costner,21842,Mark Bomback,2019,1.166,8.717,1.62
