budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,director_popularity,actor_popularity,writer_popularity
35000000,China Film Co-Production Corporation,USA,Ronny Yu,Action,6448817,Warriors of Virtue,PG,2/05/97,100,4.6,Angus Macfadyen,2372,Michael Vickerman,1997,1.012,5.615,1.094
25000000,Warner Bros.,USA,John Singleton,Action,13104494,Rosewood,R,21/02/97,140,7.2,Jon Voight,6487,Gregory Poirier,1997,1.964,13.581,0.612
5000000,Live Entertainment,USA,Peter O'Fallon,Comedy,1692872,Suicide Kings,R,17/04/98,106,7,Christopher Walken,23526,Josh McKinney,1997,1.4,6.709,0.6
28000000,Universal Pictures,USA,Michael Ritchie,Comedy,8119205,A Simple Wish,PG,11/07/97,89,5.4,Martin Short,4549,Jeff Rothberg,1997,1.073,3.228,0.6
55000000,Touchstone Pictures,USA,Thomas Carter,Action,31987563,Metro,R,17/01/97,117,5.5,Eddie Murphy,22499,Randy Feldman,1997,1.012,3.227,0.838
17000000,"Bubble Factory, The",USA,Paul Miller,Comedy,3506206,The Pest,PG-13,7/02/97,84,5,John Leguizamo,7038,David Bar Katz,1997,0.6,6.4,0.6
45000000,Cinergi Pictures Entertainment,USA,George P. Cosmatos,Action,2154540,Shadow Conspiracy,R,31/01/97,103,4.9,Charlie Sheen,3969,Adi Hasak,1997,0.919,1.609,0.98
140000000,Touchstone Pictures,USA,Michael Bay,Action,201573391,Armageddon,PG-13,1/07/98,151,6.6,Bruce Willis,344203,Jonathan Hensleigh,1998,1.4,2.402,1.281
45000000,Amen Ra Films,USA,Stephen Norrington,Action,70087718,Blade,R,21/08/98,120,7.1,Wesley Snipes,206719,David S. Goyer,1998,0.716,7.358,2.795
52000000,Fox 2000 Pictures,USA,Terrence Malick,Drama,36400491,The Thin Red Line,R,15/01/99,170,7.6,Jim Caviezel,148812,James Jones,1998,2.422,2.901,0.631
20000000,Mandalay Entertainment,USA,John McNaughton,Crime,29753944,Wild Things,R,20/03/98,108,6.5,Kevin Bacon,95388,Stephen Peters,1998,0.729,5.574,0.652
75000000,Paramount Pictures,USA,Mimi Leder,Action,140464664,Deep Impact,PG-13,8/05/98,120,6.1,Robert Duvall,142094,Bruce Joel Rubin,1998,0.84,4.469,1.176
90000000,Touchstone Pictures,USA,Tony Scott,Action,111549836,Enemy of the State,R,20/11/98,132,7.3,Will Smith,199848,David Marconi,1998,2.489,7.05,1.627
48000000,Universal Pictures,USA,Steven Soderbergh,Crime,37562568,Out of Sight,R,26/06/98,123,7,George Clooney,75099,Elmore Leonard,1998,3.202,2.717,1.305
26000000,Twentieth Century Fox Film Corporation,USA,Andy Tennant,Comedy,65705771,Ever After: A Cinderella Story,PG-13,31/07/98,121,7,Drew Barrymore,61035,Susannah Grant,1998,1.838,3.627,0.84
18000000,Juno Pix,USA,Frank Coraci,Comedy,80245725,The Wedding Singer,PG-13,13/02/98,95,6.8,Adam Sandler,116558,Tim Herlihy,1998,1.398,0.996,1.181
40000000,Universal Pictures,USA,Joe Dante,Action,54682547,Small Soldiers,PG-13,10/07/98,108,6.1,Kirsten Dunst,81216,Gavin Scott,1998,2.977,7.668,0.6
71500000,Twentieth Century Fox Film Corporation,USA,Betty Thomas,Comedy,144156605,Doctor Dolittle,PG-13,26/06/98,85,5.3,Eddie Murphy,79986,Hugh Lofting,1998,1.094,9.46,0.6
13000000,Dollface,USA,Mark Christopher,Drama,16574731,54,R,28/08/98,93,5.8,Ryan Phillippe,28791,Mark Christopher,1998,0.6,3.902,0.6
15000000,Twentieth Century Fox Film Corporation,USA,Nicholas Hytner,Comedy,29106737,The Object of My Affection,R,17/04/98,111,6,Jennifer Aniston,16506,Stephen McCauley,1998,0.732,2.558,0.98
3500000,Lions Gate Films,USA,Bill Condon,Biography,6390032,Gods and Monsters,R,4/11/98,105,7.5,Ian McKellen,26050,Christopher Bram,1998,1.541,0.98,0.6
18000000,Morgan Creek Productions,USA,John Warren,Comedy,3551208,Major League: Back to the Minors,PG-13,17/04/98,100,4.5,Scott Bakula,6102,David S. Ward,1998,0.6,0.6,1.904
20000000,Dieter Geissler Filmproduktion,USA,Carl Schenkel,Action,2147114,Tarzan and the Lost City,PG,24/04/98,100,3.9,Casper Van Dien,1892,Edgar Rice Burroughs,1998,0.84,2.34,1.238
15000000,DreamWorks,USA,Sam Mendes,Drama,130096601,American Beauty,R,1/10/99,122,8.4,Kevin Spacey,899755,Alan Ball,1999,1.544,3.981,1.489
60000000,Castle Rock Entertainment,USA,Frank Darabont,Crime,136801374,The Green Mile,R,10/12/99,189,8.5,Tom Hanks,879924,Stephen King,1999,4.25,3.076,6.828
11000000,Universal Pictures,USA,Paul Weitz,Comedy,102561004,American Pie,R,9/07/99,95,7,Jason Biggs,332271,Adam Herz,1999,0.919,9.46,0.6
30000000,Touchstone Pictures,USA,Gil Junger,Comedy,38176108,10 Things I Hate About You,PG-13,31/03/99,97,7.2,Heath Ledger,244103,Karen McCullah,1999,0.606,12.513,2.192
100000000,Paramount Pictures,USA,Tim Burton,Fantasy,101071502,Sleepy Hollow,R,19/11/99,105,7.4,Johnny Depp,284929,Washington Irving,1999,6.942,7.668,0.6
60000000,Warner Bros.,USA,Renny Harlin,Action,73648142,Deep Blue Sea,R,28/07/99,105,5.8,Thomas Jane,105864,Duncan Kennedy,1999,2.139,2.625,0.6
6000000,American Zoetrope,USA,Sofia Coppola,Drama,4859475,The Virgin Suicides,R,19/05/00,97,7.2,Kirsten Dunst,125166,Jeffrey Eugenides,1999,2.292,5.068,1.4
10500000,Columbia Pictures Corporation,USA,Roger Kumble,Drama,38328567,Cruel Intentions,R,5/03/99,97,6.8,Sarah Michelle Gellar,157466,Choderlos de Laclos,1999,1.644,21.055,0.6
45000000,DreamWorks,USA,Dean Parisot,Adventure,71583916,Galaxy Quest,PG,25/12/99,102,7.3,Tim Allen,130142,David Howard,1999,0.947,6.766,0.629
40000000,Columbia Pictures Corporation,USA,James Mangold,Biography,28871190,"Girl, Interrupted",R,14/01/00,127,7.4,Winona Ryder,135410,Susanna Kaysen,1999,1.441,1.859,0.6
40000000,Miramax,USA,Anthony Minghella,Crime,81298265,The Talented Mr. Ripley,R,25/12/99,139,7.3,Matt Damon,148622,Patricia Highsmith,1999,0.6,5.096,0.706
10000000,Miramax,USA,Robert Iscove,Comedy,63366989,She's All That,PG-13,29/01/99,95,5.8,Freddie Prinze Jr.,71905,R. Lee Fleming Jr.,1999,0.828,13.581,1.065
130000000,Walt Disney Pictures,USA,Chris Buck,Animation,171091819,Tarzan,G,18/06/99,88,7.2,Tony Goldwyn,160561,Tab Murphy,1999,1.619,10.4,0.828
70000000,Warner Bros.,USA,Brad Bird,Animation,23159305,The Iron Giant,PG,6/08/99,86,8,Eli Marienthal,140243,Tim McCanlies,1999,2.54,18.012,0.983
17000000,Happy Madison Productions,USA,Mike Mitchell,Comedy,65538755,Deuce Bigalow: Male Gigolo,R,10/12/99,88,5.7,Rob Schneider,62761,Harris Goldberg,1999,2.11,2.353,1.4
25000000,Universal Pictures,USA,Joe Johnston,Biography,32481825,October Sky,PG,19/02/99,108,7.8,Jake Gyllenhaal,69372,Homer H. Hickam Jr.,1999,1.642,2.088,0.6
75000000,Warner Bros.,USA,David O. Russell,Action,60652036,Three Kings,R,1/10/99,114,7.1,George Clooney,145142,John Ridley,1999,1.62,3.474,1.585
55000000,Warner Bros.,USA,Oliver Stone,Drama,75530832,Any Given Sunday,R,22/12/99,162,6.8,Al Pacino,101796,Daniel Pyne,1999,5.109,3.868,0.766
73000000,Columbia Pictures Corporation,USA,Phillip Noyce,Crime,66518655,The Bone Collector,R,5/11/99,118,6.7,Denzel Washington,129642,Jeffery Deaver,1999,0.84,2.684,0.6
25000000,Bona Fide Productions,USA,Alexander Payne,Comedy,14879556,Election,R,7/05/99,103,7.3,Matthew Broderick,77515,Tom Perrotta,1999,1.425,23.05,0.766
68000000,Universal Pictures,USA,Kinka Usher,Action,29655590,Mystery Men,PG-13,6/08/99,121,6.1,Ben Stiller,56155,Neil Cuthbert,1999,0.6,15.992,0.6
20000000,Columbia Pictures,USA,Doug Liman,Comedy,16842303,Go,R,9/04/99,102,7.3,Sarah Polley,61476,John August,1999,1.736,3.981,1.174
37000000,Dark Castle Entertainment,USA,William Malone,Horror,40846082,House on Haunted Hill,R,29/10/99,93,5.6,Geoffrey Rush,47381,Robb White,1999,0.648,9.394,0.6
95000000,Paramount Pictures,USA,Simon West,Crime,102705852,The General's Daughter,R,18/06/99,116,6.3,John Travolta,45376,Nelson DeMille,1999,1.22,11.497,0.6
1200000,Cheerleader LLC,USA,Jamie Babbit,Comedy,2205627,But I'm a Cheerleader,R,11/08/00,85,6.6,Natasha Lyonne,21306,Brian Peterson,1999,1.07,1.544,0.6
75000000,DreamWorks,USA,Bronwen Hughes,Comedy,52888180,Forces of Nature,PG-13,19/03/99,105,5.4,Sandra Bullock,28258,Marc Lawrence,1999,1.4,3.608,0.623
80000000,Imagine Entertainment,USA,Ron Howard,Comedy,22362500,Edtv,PG-13,26/03/99,122,6.1,Matthew McConaughey,37180,Émile Gaudreault,1999,4.23,13.092,0.741
12000000,Crystal Sky Worldwide,USA,Bob Clark,Comedy,27141959,Baby Geniuses,PG,12/03/99,97,2.6,Kathleen Turner,21192,Steven Paul,1999,1.66,2.015,0.98
38000000,Columbia Pictures Corporation,USA,Ulu Grosbard,Drama,13376506,The Deep End of the Ocean,PG-13,12/03/99,106,6.3,Michelle Pfeiffer,11136,Jacquelyn Mitchard,1999,0.656,5.748,0.6
27000000,Craven-Maddalena Films,USA,Wes Craven,Drama,14859394,Music of the Heart,PG,29/10/99,124,6.8,Meryl Streep,10622,Pamela Gray,1999,3.58,13.881,1.4
23000000,Fox 2000 Pictures,USA,Wayne Wang,Comedy,18653615,Anywhere But Here,PG-13,12/11/99,114,6.2,Susan Sarandon,15423,Mona Simpson,1999,0.833,10.507,0.6
35000000,Universal Pictures,USA,Ang Lee,Drama,630779,Ride with the Devil,R,5/11/99,138,6.8,Tobey Maguire,11587,Daniel Woodrell,1999,1.24,4.522,0.6
26000000,Jim Henson Pictures,USA,Gary Halvorson,Adventure,11634458,The Adventures of Elmo in Grouchland,G,1/10/99,73,5.8,Kevin Clash,2304,Mitchell Kriegman,1999,0.972,5.903,0.6
51000000,New Line Cinema,USA,Gary Sinyor,Comedy,21731001,The Bachelor,PG-13,5/11/99,101,5,Chris O'Donnell,15339,Roi Cooper Megrue,1999,0.6,4.104,0.6
25000000,New Line Cinema,USA,James Foley,Action,15156200,The Corruptor,R,12/03/99,110,6,Yun-Fat Chow,15959,Robert Pucci,1999,0.996,0.996,1.22
35000000,Universal Pictures,USA,Scott Hicks,Drama,14378353,Snow Falling on Cedars,PG-13,7/01/00,127,6.8,Ethan Hawke,12701,David Guterson,1999,0.656,1.22,0.98
7000000,Dogstar Films,USA,Mike Barker,Crime,25651,Best Laid Plans,R,21/04/00,92,6.2,Alessandro Nivola,6562,Ted Griffin,1999,0.98,5.904,1.169
